"","input","filtered","denoisedF","denoisedR","merged","correct_length","nonchim"
"e04237-B",23584,19902,19720,19766,19502,19502,19468
"e04237-C",21911,18441,18310,18362,18228,18228,18223
"e04238-A",31089,26628,26517,26529,26353,26350,26127
"e04238-B",16218,13811,13722,13719,13558,13558,13514
"e04238-C",21292,18249,18187,18185,18118,18118,18099
"e04239-A",125,115,112,108,106,106,106
"e04239-B",1827,1591,1570,1578,1526,1377,1377
"e04239-C",314,281,267,276,223,223,223
"e04240-A",16847,14538,14432,14498,14374,14372,14361
"e04240-B",9479,8067,8007,8036,7886,7882,7882
"e04240-C",1423,1232,1222,1223,1182,1182,1182
"e04241-A",521,458,448,452,448,448,448
"e04241-B",56,52,48,52,26,26,26
"e04241-C",134,121,120,119,119,119,119
"e04242-A",33,30,23,28,23,23,23
"e04242-B",8966,7600,7540,7571,7431,7421,7416
"e04242-C",861,701,689,691,670,670,670
"e04243-A",3276,2833,2810,2794,2704,2704,2704
"e04243-B",14663,12528,12466,12498,12414,12414,11688
"e04243-C",1045,896,888,891,876,876,876
"e04244-A",17337,14733,14656,14660,14527,14514,14514
"e04244-B",3047,2594,2563,2558,2412,2408,2408
"e04244-C",1294,1129,1114,1109,1075,1064,1064
"e04245-A",1699,1448,1423,1432,1349,1349,1349
"e04245-B",4078,3436,3381,3412,3258,3258,3258
"e04245-C",1915,1620,1590,1614,1549,1549,1549
"e04246-A",2937,2476,2462,2458,2439,2439,2439
"e04246-B",4721,4020,3978,4000,3863,3849,3849
"e04246-C",623,534,521,520,494,481,481
"e04247-A",7826,6759,6671,6701,6541,6513,6513
"e04247-B",6150,5332,5248,5291,4830,4816,4814
"e04247-C",557,466,436,432,298,284,284
"e04248-A",44,32,27,31,26,26,26
"e04248-B",10,9,7,7,7,7,7
"e04248-C",7200,6198,6162,6170,5990,5970,5970
"e04249-A",18018,15452,15364,15364,15179,15179,15167
"e04249-B",14225,12139,12063,12068,11798,11798,11798
"e04249-C",12029,10288,10220,10225,10062,10062,10062
"e04250-A",37878,32571,32554,32548,32529,32529,32529
"e04250-B",31894,27314,27305,27292,27267,27265,27265
"e04250-C",35,31,27,27,25,25,25
"e04251-A",32,24,21,21,19,19,19
"e04251-B",22,21,18,18,5,5,5
"e04251-C",37645,32091,32082,32067,29831,29831,29831
"e04252-A",71,59,53,58,53,53,53
"e04252-B",18,14,14,14,3,3,3
"e04252-C",34,26,23,25,23,23,23
"e04253-A",30702,26139,25941,25990,19735,19732,19718
"e04253-B",31483,26946,26806,26712,26546,26546,26328
"e04253-C",36552,30838,30651,30559,30229,30229,30147
"e04254-A",32,30,24,26,24,24,24
"e04254-B",7550,6504,6499,6501,6494,6494,6494
"e04254-C",16398,14158,14141,14150,14132,14132,14132
"e04255-A",20374,17607,17585,17587,17560,17560,17560
"e04255-B",11829,10156,10151,10142,10128,10128,10128
"e04255-C",28761,24818,24795,24799,24708,24704,24704
"e04256-A",23352,20317,20284,20282,20003,20003,19994
"e04256-B",11653,10090,10076,10068,9773,9773,9773
"e04256-C",42932,37118,37096,37045,36441,36441,36441
"e04257-A",31,30,19,26,16,16,16
"e04257-B",28994,24879,24863,24861,24836,24832,24828
"e04257-C",27,24,23,24,23,23,23
"e04258-A",25226,21396,21242,21207,20185,20185,20166
"e04258-B",18525,15849,15655,15589,15260,15260,15202
"e04258-C",15421,12959,12916,12869,12713,12710,12688
"e04259-A",12899,10859,10710,10734,10168,10168,10116
